Event Rank,datetime,cnt,Previous Demand,abs_change,weathersit,holiday,temp,hum,windspeed,regime,shock_type,Event Context
1,2012-09-20 17:00:00,976,,519.0,1,0,0.64,0.5,0.2239,Commute,Demand spike/change-point,High temperature
2,2012-09-26 09:00:00,334,976.0,504.0,1,0,0.6,0.64,0.194,Commute,Demand spike/change-point,Demand spike/change-point
3,2012-10-16 17:00:00,943,334.0,497.0,1,0,0.52,0.39,0.194,Commute,Demand spike/change-point,Demand spike/change-point
4,2012-09-26 17:00:00,953,943.0,485.0,1,0,0.74,0.48,0.2985,Commute,Demand spike/change-point,High temperature
5,2012-10-16 09:00:00,355,953.0,480.0,1,0,0.48,0.55,0.2537,Commute,Demand spike/change-point,Demand spike/change-point
6,2012-10-10 09:00:00,366,355.0,473.0,1,0,0.54,0.6,0.2836,Commute,Demand spike/change-point,Demand spike/change-point
7,2012-09-25 17:00:00,967,366.0,472.0,1,0,0.66,0.39,0.2836,Commute,Demand spike/change-point,High temperature
8,2012-09-27 09:00:00,335,967.0,459.0,1,0,0.66,0.65,0.0,Commute,Demand spike/change-point,High temperature
9,2012-10-03 09:00:00,362,335.0,447.0,2,0,0.62,0.83,0.194,Commute,Demand spike/change-point,High temperature
10,2012-10-18 09:00:00,387,362.0,447.0,2,0,0.5,0.77,0.1642,Commute,Demand spike/change-point,Demand spike/change-point
11,2012-10-01 09:00:00,340,387.0,444.0,2,0,0.52,0.63,0.0,Commute,Demand spike/change-point,Demand spike/change-point
12,2012-10-11 09:00:00,355,340.0,443.0,1,0,0.4,0.43,0.3881,Commute,Demand spike/change-point,Demand spike/change-point
13,2012-10-18 17:00:00,890,355.0,440.0,2,0,0.58,0.64,0.3284,Commute,Demand spike/change-point,Demand spike/change-point
14,2012-10-03 17:00:00,917,890.0,439.0,1,0,0.7,0.65,0.0,Commute,Demand spike/change-point,High temperature
15,2012-10-25 09:00:00,343,917.0,436.0,2,0,0.52,0.83,0.194,Commute,Demand spike/change-point,Demand spike/change-point
16,2012-09-19 09:00:00,362,343.0,435.0,1,0,0.54,0.6,0.2537,Commute,Demand spike/change-point,Demand spike/change-point
17,2012-10-17 09:00:00,382,362.0,435.0,2,0,0.42,0.77,0.0,Commute,Demand spike/change-point,Demand spike/change-point
18,2012-09-20 09:00:00,355,382.0,435.0,1,0,0.56,0.6,0.0896,Commute,Demand spike/change-point,Demand spike/change-point
19,2012-09-27 17:00:00,905,355.0,433.0,2,0,0.66,0.69,0.2985,Commute,Demand spike/change-point,High temperature
20,2012-10-24 17:00:00,963,905.0,431.0,1,0,0.66,0.47,0.0,Commute,Demand spike/change-point,High temperature
