Lead Time,Model,Shock Samples,RMSE,MAE,WAPE (%),Peak-MAE,Temporal Baseline RMSE,RMSE Gain vs Temporal Only (%),Gain Interpretation
1,Temporal Only,259,309.0438074050348,292.21607263271585,54.08160607948385,458.0635969933583,309.0438074050348,0.0,Worse than or equal to temporal baseline
1,Temporal + Weather,259,306.7204161531763,290.36878889370234,53.73972183406819,450.1588411868398,309.0438074050348,0.7517999701619745,Improvement over temporal baseline
1,Weather + Calendar,259,304.42694313768123,288.8308939769857,53.45509742471186,439.9960692226568,309.0438074050348,1.4939190356604224,Improvement over temporal baseline
1,Full Cross-Modal Fusion,259,303.5774431583494,287.96705073653186,53.29522247524812,439.8917450943599,309.0438074050348,1.7687991526460587,Improvement over temporal baseline
3,Temporal Only,259,461.6818434667561,414.42007203653316,76.69839268383163,623.3388715901038,461.6818434667561,0.0,Worse than or equal to temporal baseline
3,Temporal + Weather,259,461.33904575932723,413.37191507805505,76.5044060518604,621.1666453324863,461.6818434667561,0.07424977011329133,Improvement over temporal baseline
3,Weather + Calendar,259,461.1122374342127,412.6088978555713,76.36319137983209,619.9330019036438,461.6818434667561,0.12337631219504641,Improvement over temporal baseline
3,Full Cross-Modal Fusion,259,461.45751142158247,412.982560810424,76.43234668860333,622.093791175957,461.6818434667561,0.048590181387497586,Improvement over temporal baseline
6,Temporal Only,259,489.57534044491666,449.3173030566118,83.156963851013,692.3042280079324,489.57534044491666,0.0,Worse than or equal to temporal baseline
6,Temporal + Weather,259,489.14394825938876,449.02106482427,83.10213784762841,688.60586728048,489.57534044491666,0.08811558709959877,Improvement over temporal baseline
6,Weather + Calendar,259,489.6525655997277,449.46729732545407,83.18472389476632,690.4445320116886,489.57534044491666,-0.015773906165469764,Worse than or equal to temporal baseline
6,Full Cross-Modal Fusion,259,489.60769658972754,449.4770550963955,83.18652980475449,689.5015728140614,489.57534044491666,-0.0066090225830148204,Worse than or equal to temporal baseline
12,Temporal Only,259,400.4297960251952,302.42039365865304,55.9701608912069,820.227036361312,400.4297960251952,0.0,Worse than or equal to temporal baseline
12,Temporal + Weather,259,401.1761349961828,303.54949502969816,56.17912823178648,819.7339151200174,400.4297960251952,-0.18638447448117682,Worse than or equal to temporal baseline
12,Weather + Calendar,259,400.9727321957919,302.9399083879912,56.06630957560822,819.399237594075,400.4297960251952,-0.1355883543098132,Worse than or equal to temporal baseline
12,Full Cross-Modal Fusion,259,401.1649733319565,303.1564388034545,56.10638373213154,819.4849876924321,400.4297960251952,-0.1835970534807734,Worse than or equal to temporal baseline
24,Temporal Only,255,216.2296614482751,159.27993387388113,29.542840305957384,263.61247819130637,216.2296614482751,0.0,Worse than or equal to temporal baseline
24,Temporal + Weather,255,216.53753197284198,158.0882375238719,29.32180747335092,248.68523709226747,216.2296614482751,-0.14238126374744686,Worse than or equal to temporal baseline
24,Weather + Calendar,255,216.8724421338323,158.58645016746917,29.41421469760214,248.19954220410824,216.2296614482751,-0.29726758172396256,Worse than or equal to temporal baseline
24,Full Cross-Modal Fusion,255,217.6380182812174,159.38703283685615,29.562704751422373,251.15180672637368,216.2296614482751,-0.6513245331419066,Worse than or equal to temporal baseline
