Train Season,Test Season,Train Samples Used,Test Samples Used,RMSE,MAE,WAPE (%),Peak-MAE
1,1,4074,1500,22.06544068670948,13.146225493185407,8.365080234407436,32.42261059954012
1,2,4074,1500,69.36709493981557,45.24811741005833,17.185744446548483,90.26191659297355
1,3,4074,1500,81.65193869126679,53.99033892281874,18.325125161330217,130.91597490977742
1,4,4074,1500,67.23697303930338,41.5110594536042,18.31666569015756,119.54275615458275
2,1,4409,1500,48.93912879450353,29.09923216294647,18.51614457160169,80.78588698551106
2,2,4409,1500,29.06377572797589,18.42392849792558,6.997615480825431,34.539448055741495
2,3,4409,1500,53.39293805235629,33.22820509417868,11.278147709123227,83.16218246822194
2,4,4409,1500,57.34546359542018,35.37334086096236,15.608410563898095,92.80572119729341
3,1,4496,1500,54.36274818948959,33.960644955134136,21.609512175885104,81.07206091640612
3,2,4496,1500,54.22584406575347,33.58785473724064,12.75704539905777,73.85111508170255
3,3,4496,1500,29.74758684477127,18.34204368953428,6.225562814224959,30.3507356203685
3,4,4496,1500,65.86017822073623,39.07062534966717,17.239829391372304,97.2621437808827
4,1,4232,1500,46.065048589995,27.594865266809784,17.55890024358578,75.21704465328816
4,2,4232,1500,54.43074633567388,34.38357303888435,13.05926816911385,70.86868617719766
4,3,4232,1500,51.99996219875649,32.16029034734135,10.915681538547783,60.114304193304534
4,4,4232,1500,28.442631524966675,17.279933610218134,7.624733534932747,36.4610293579589
